
******************************************************************************

       Photoionization cross-sections for Si II

   Data is from the Opacity project
   Verner high energy tail included for gnd level
   Smoothed with a gausian of width 3000 km/sec

          Types of cross sections included:
         -----------------------------------

           2-  Hydrogenic (n,l)
           3 - Hydrogenic (n)
          20 - Opacity Project: smoothed [number of data pairs]
          21 - Opacity Project: scaled, smoothed [number of data pairs]

 [Reference] photoionization cross-sections for Si\,{\sc ii} were computed as part of the Opacity Project by \cite{MEL95_Al_seq}.

******************************************************************************

04-Sep-1997                             !Date
85                                      !Number of energy levels
1                                       !Number of photoionization routes
2.0                                     !Screened nuclear charge
3s21Se                                  !Final state in ion
0.0                                     !Excitation energy of final state
1.0                                     !Statistical weight of ion
3000.0                                  !Sigma used for Gaussian smoothing (km/s)
Megabarns                               !Cross-section unit
False                                   !Split J levels
9742                                    !Total number of data pairs

3s2(1S)3p2Po                            !Configuration name
20                                      !Type of cross-section
161                                     !Number of cross-section points
 1.000D+00 1.212D+00
 1.005D+00 1.199D+00
 1.010D+00 1.195D+00
 1.015D+00 1.289D+00
 1.020D+00 1.560D+00
 1.025D+00 1.979D+00
 1.030D+00 2.395D+00
 1.035D+00 2.641D+00
 1.041D+00 2.630D+00
 1.051D+00 2.188D+00
 1.067D+00 1.598D+00
 1.078D+00 1.411D+00
 1.121D+00 9.921D-01
 1.196D+00 5.336D-01
 1.214D+00 4.416D-01
 1.226D+00 3.901D-01
 1.233D+00 3.915D-01
 1.239D+00 4.218D-01
 1.251D+00 5.342D-01
 1.257D+00 5.665D-01
 1.264D+00 5.650D-01
 1.276D+00 4.971D-01
 1.289D+00 4.374D-01
 1.322D+00 3.523D-01
 1.335D+00 3.323D-01
 1.341D+00 3.249D-01
 1.348D+00 3.208D-01
 1.355D+00 3.223D-01
 1.362D+00 3.319D-01
 1.368D+00 3.519D-01
 1.375D+00 3.866D-01
 1.389D+00 5.029D-01
 1.396D+00 5.650D-01
 1.403D+00 5.976D-01
 1.410D+00 5.871D-01
 1.424D+00 4.730D-01
 1.431D+00 4.197D-01
 1.438D+00 3.878D-01
 1.445D+00 3.795D-01
 1.453D+00 3.890D-01
 1.475D+00 4.890D-01
 1.482D+00 5.185D-01
 1.489D+00 5.232D-01
 1.497D+00 5.004D-01
 1.512D+00 4.129D-01
 1.519D+00 3.819D-01
 1.527D+00 3.691D-01
 1.534D+00 3.723D-01
 1.558D+00 4.159D-01
 1.573D+00 4.744D-01
 1.581D+00 5.017D-01
 1.589D+00 5.152D-01
 1.597D+00 5.109D-01
 1.613D+00 4.806D-01
 1.629D+00 4.573D-01
 1.637D+00 4.527D-01
 1.645D+00 4.570D-01
 1.662D+00 4.876D-01
 1.670D+00 5.012D-01
 1.678D+00 5.053D-01
 1.695D+00 4.992D-01
 1.704D+00 5.002D-01
 1.721D+00 5.123D-01
 1.729D+00 5.113D-01
 1.738D+00 4.994D-01
 1.746D+00 4.800D-01
 1.755D+00 4.624D-01
 1.764D+00 4.545D-01
 1.773D+00 4.571D-01
 1.782D+00 4.693D-01
 1.808D+00 5.430D-01
 1.817D+00 5.613D-01
 1.827D+00 5.646D-01
 1.845D+00 5.375D-01
 1.854D+00 5.293D-01
 1.863D+00 5.300D-01
 1.873D+00 5.343D-01
 1.891D+00 5.392D-01
 1.901D+00 5.456D-01
 1.920D+00 5.769D-01
 1.929D+00 5.909D-01
 1.939D+00 5.940D-01
 1.949D+00 5.834D-01
 1.958D+00 5.658D-01
 1.968D+00 5.513D-01
 1.978D+00 5.446D-01
 1.988D+00 5.450D-01
 1.998D+00 5.482D-01
 2.008D+00 5.530D-01
 2.028D+00 5.698D-01
 2.048D+00 5.864D-01
 2.058D+00 5.942D-01
 2.079D+00 6.239D-01
 2.089D+00 6.397D-01
 2.100D+00 6.483D-01
 2.110D+00 6.476D-01
 2.121D+00 6.419D-01
 2.131D+00 6.367D-01
 2.142D+00 6.354D-01
 2.163D+00 6.418D-01
 2.174D+00 6.397D-01
 2.207D+00 6.016D-01
 2.218D+00 5.901D-01
 2.229D+00 5.817D-01
 2.240D+00 5.762D-01
 2.251D+00 5.725D-01
 2.263D+00 5.705D-01
 2.274D+00 5.696D-01
 2.285D+00 5.696D-01
 2.297D+00 5.700D-01
 2.320D+00 5.716D-01
 2.343D+00 5.755D-01
 2.378D+00 5.847D-01
 2.414D+00 5.924D-01
 2.426D+00 5.939D-01
 2.438D+00 5.947D-01
 2.450D+00 5.949D-01
 2.462D+00 5.948D-01
 2.588D+00 5.895D-01
 3.222D+00 5.343D-01
 3.472D+00 5.074D-01
 3.489D+00 5.055D-01
 3.542D+00 4.998D-01
 3.559D+00 4.978D-01
 3.577D+00 4.959D-01
 4.453D+00 4.053D-01
 5.544D+00 3.148D-01
 6.901D+00 2.342D-01
 6.970D+00 2.308D-01
 7.253D+00 2.128D-01
 9.030D+00 1.457D-01
 1.124D+01 9.832D-02
 1.399D+01 6.475D-02
 1.742D+01 4.177D-02
 2.169D+01 2.646D-02
 2.700D+01 1.649D-02
 3.361D+01 1.014D-02
 4.184D+01 6.151D-03
 5.209D+01 3.686D-03
 6.485D+01 2.183D-03
 8.073D+01 1.278D-03
 1.005D+02 7.396D-04
 1.251D+02 4.231D-04
 1.558D+02 2.392D-04
 1.939D+02 1.337D-04
 2.414D+02 7.386D-05
 3.005D+02 4.035D-05
 3.741D+02 2.180D-05
 4.657D+02 1.165D-05
 5.798D+02 6.162D-06
 7.218D+02 3.227D-06
 8.985D+02 1.674D-06
 1.119D+03 8.606D-07
 1.393D+03 4.387D-07
 1.734D+03 2.219D-07
 2.158D+03 1.114D-07
 2.687D+03 5.554D-08
 3.345D+03 2.752D-08
 4.164D+03 1.355D-08
 5.183D+03 6.639D-09
 6.079D+03 3.942D-09
3s3p2_4Pe                               !Configuration name
20                                      !Type of cross-section
122                                     !Number of cross-section points
