
******************************************************************************

       Photoionization cross-sections for O III

>> Data is from the Opacity project
>>   Verner high energy tail included for gnd level
>>   Smoothed with a gausian of width  499 km/sec

          Types of cross sections included:
         -----------------------------------

           1 - Seaton formula fit [sigma_o,alpha,beta]                  
          20 - Opacity Project: smoothed [number of data pairs]         

 [Reference] O\,{\sc iii} photoionization data from \citep{LPS89_OIII_phot}.

******************************************************************************

14-Mar-2002                             !Date
267                                     !Number of energy levels
1                                       !Number of photoionization routes
3.0                                     !Screened nuclear charge
2s2_2p_2Po/2s2s2p2Po                    !Final state in ion
0.0                                     !Excitation energy of final state
6.0                                     !Statistical weight of ion
500.0                                   !Sigma used for Gaussian smoothing (km/s)
Megabarns                               !Cross-section unit
False                                   !Split J levels
152098                                  !Total number of data pairs

2s2_2p2_3Pe                             !Configuration name
20                                      !Type of cross-section
234                                     !Number of cross-section points
 1.00000D+00 4.846D+00
 1.00250D+00 4.041D+00
 1.00501D+00 3.829D+00
 1.04167D+00 4.159D+00
 1.04864D+00 4.486D+00
 1.04951D+00 4.730D+00
 1.05039D+00 5.353D+00
 1.05126D+00 6.746D+00
 1.05214D+00 9.193D+00
 1.05302D+00 1.233D+01
 1.05390D+00 1.500D+01
 1.05477D+00 1.603D+01
 1.05565D+00 1.540D+01
 1.05741D+00 1.256D+01
 1.05829D+00 1.077D+01
 1.06006D+00 6.266D+00
 1.06094D+00 4.626D+00
 1.06183D+00 3.769D+00
 1.06271D+00 3.464D+00
 1.06360D+00 3.417D+00
 1.07339D+00 3.964D+00
 1.07429D+00 4.166D+00
 1.07518D+00 4.521D+00
 1.07698D+00 5.499D+00
 1.07787D+00 5.703D+00
 1.08057D+00 4.855D+00
 1.08147D+00 5.098D+00
 1.08327D+00 6.574D+00
 1.08418D+00 6.956D+00
 1.08508D+00 6.665D+00
 1.08780D+00 4.000D+00
 1.08870D+00 3.473D+00
 1.08961D+00 3.217D+00
 1.09052D+00 3.136D+00
 1.09964D+00 3.425D+00
 1.10056D+00 3.565D+00
 1.10148D+00 3.955D+00
 1.10240D+00 4.872D+00
 1.10332D+00 6.500D+00
 1.10424D+00 8.543D+00
 1.10516D+00 1.008D+01
 1.10608D+00 1.016D+01
 1.10700D+00 8.712D+00
 1.10792D+00 6.602D+00
 1.10884D+00 4.835D+00
 1.10977D+00 3.818D+00
 1.11069D+00 3.405D+00
 1.11162D+00 3.299D+00
 1.11440D+00 3.500D+00
 1.11719D+00 4.059D+00
 1.11812D+00 4.059D+00
 1.12092D+00 3.465D+00
 1.12186D+00 3.397D+00
 1.12373D+00 3.647D+00
 1.12560D+00 4.202D+00
 1.12654D+00 4.336D+00
 1.12936D+00 4.113D+00
 1.13218D+00 4.980D+00
 1.13313D+00 4.901D+00
 1.13502D+00 4.247D+00
 1.13691D+00 3.926D+00
 1.14929D+00 3.734D+00
 1.15602D+00 3.796D+00
 1.18429D+00 3.524D+00
 1.19619D+00 3.718D+00
 1.19819D+00 3.673D+00
 1.20219D+00 3.292D+00
 1.20419D+00 3.213D+00
 1.20922D+00 3.530D+00
 1.21832D+00 3.375D+00
 1.23467D+00 3.598D+00
 1.23673D+00 3.825D+00
 1.23982D+00 4.495D+00
 1.24086D+00 4.573D+00
 1.24189D+00 4.431D+00
 1.24500D+00 3.239D+00
 1.24604D+00 3.035D+00
 1.24708D+00 3.014D+00
 1.25020D+00 3.331D+00
 1.25124D+00 3.351D+00
 1.25542D+00 3.163D+00
 1.25961D+00 3.112D+00
 1.26171D+00 3.115D+00
 1.26381D+00 3.113D+00
 1.27439D+00 3.257D+00
 1.28827D+00 2.935D+00
 1.30121D+00 3.114D+00
 1.30338D+00 3.287D+00
 1.30664D+00 3.880D+00
 1.30773D+00 3.932D+00
 1.30882D+00 3.801D+00
 1.31210D+00 3.021D+00
 1.31319D+00 2.889D+00
 1.31538D+00 2.826D+00
 1.32639D+00 2.959D+00
 1.32749D+00 2.956D+00
 1.32971D+00 2.975D+00
 1.33415D+00 3.221D+00
 1.33860D+00 2.962D+00
 1.34083D+00 2.995D+00
 1.34755D+00 2.667D+00
 1.35657D+00 2.789D+00
 1.36110D+00 2.952D+00
 1.36678D+00 2.720D+00
 1.37363D+00 2.921D+00
 1.37821D+00 2.795D+00
 1.38281D+00 2.943D+00
 1.39322D+00 2.595D+00
 1.41075D+00 2.819D+00
 1.41900D+00 2.629D+00
 1.42611D+00 2.595D+00
 1.43804D+00 2.759D+00
 1.44044D+00 2.707D+00
 1.44405D+00 2.499D+00
 1.44766D+00 2.434D+00
 1.44887D+00 2.434D+00
 1.45249D+00 2.430D+00
 1.46099D+00 2.512D+00
 1.47076D+00 2.351D+00
 1.47690D+00 2.398D+00
 1.48183D+00 2.353D+00
 1.49050D+00 2.492D+00
 1.49672D+00 2.328D+00
 1.50172D+00 2.336D+00
 1.50799D+00 2.310D+00
 1.51934D+00 2.422D+00
 1.52187D+00 2.417D+00
 1.52314D+00 2.418D+00
 1.53205D+00 2.225D+00
 1.53460D+00 2.245D+00
 1.54101D+00 2.190D+00
 1.54616D+00 2.219D+00
 1.55779D+00 2.159D+00
 1.57607D+00 2.230D+00
 1.58397D+00 2.089D+00
 1.59589D+00 2.058D+00
 1.60523D+00 2.121D+00
 1.61596D+00 2.011D+00
 1.62271D+00 2.051D+00
 1.62949D+00 1.988D+00
 1.63356D+00 2.005D+00
 1.64038D+00 1.977D+00
 1.64175D+00 1.977D+00
 1.78292D+00 1.676D+00
 1.90106D+00 1.482D+00
 1.07923D+01 4.009D-02
 1.08283D+01 3.500D-02
 1.08373D+01 3.587D-02
 1.08464D+01 4.151D-02
 1.08554D+01 5.691D-02
