
********************************************************************************

    Energy Levels and statistical weights for O2        

    Data is from the Opacity Project
    Maximum energy included = Ionization energy =>   285641.
    Data is from NIST
    Maximum energy included = Ionization energy =>   283271.
    Packed according to J states by pack.f
    Data from the Opacity Project rewritten with NIST energies
    66 energies from NIST included
    153 energies from the Opacity Project scaled by  0.9927: 
    Oscillator strengths scaled to conserve (g*f)/(h*nu)
    Split using NIST energy levels and REWRITE_OSC_V2
    Kurucz data used when available.

 Config           Statistical   Energy   Ionization  Frequency  Wavelength
                    Weight      (cm^-1)  Energy(eV)  (Hz 10^15) (Angstroms)
********************************************************************************

29-Sep-2000                                      !Date
296                                              !Number of energy levels
283270.9000                                      !Ionization energy
2.0                                              !Screened nuclear charge
6861                                             !Number of transitions

2s_2p4_4Pe[1/2]        -2s2_2p2(3Pe)3p_4So[3/2]    2.8364E-03  8.0205E+06    1086.024       8-  29      462
2s_2p4_4Pe[1/2]        -2s2_2p2(3Pe)4p_4Do[1/2]    7.2793E-06  7.6701E+04     795.637       8-  65      463
2s_2p4_4Pe[1/2]        -2s2_2p2(3Pe)4p_4Do[3/2]    7.2821E-06  3.8395E+04     795.331       8-  66      464
2s_2p4_4Pe[1/2]        -2s2_2p2(3Pe)4p_4So[3/2]    1.3100E-02  6.9593E+07     792.337       8-  69      465
2s_2p4_4Pe[1/2]        -2s2_2p2(3Pe)4p_4Po[1/2]    2.4143E-04  2.5663E+06     792.159       8-  70      466
2s_2p4_4Pe[1/2]        -2s2_2p2(3Pe)4p_4Po[3/2]    1.2087E-03  6.4406E+06     791.136       8-  72      467
2s_2p4_4Pe[1/2]        -2s_2p3(5So)3s_4So[3/2]     3.8420E-02  2.3318E+08     741.297       8-  94      468
2s_2p4_4Pe[1/2]        -2s2_2p2(3Pe)4f_4Do         7.3278E-04  8.9596E+05     738.608       8- 103      469
2s_2p4_4Pe[1/2]        -2s2_2p2(3Pe)5p_4Do[1/2]    2.6394E-06  3.4917E+04     710.081       8- 120      470
2s_2p4_4Pe[1/2]        -2s2_2p2(3Pe)5p_4Do[3/2]    2.6403E-06  1.7476E+04     709.845       8- 121      471
2s_2p4_4Pe[1/2]        -2s2_2p2(3Pe)5p_4Po[1/2]    9.4019E-05  1.2491E+06     708.558       8- 124      472
2s_2p4_4Pe[1/2]        -2s2_2p2(3Pe)5p_4Po[3/2]    4.7025E-04  3.1259E+06     708.323       8- 125      473
2s_2p4_4Pe[1/2]        -2s2_2p2(3Pe)5p_4So[3/2]    3.0795E-03  2.0575E+07     706.521       8- 127      474
2s_2p4_4Pe[1/2]        -2s2_2p2(3Pe)5f_4Do         5.2761E-04  7.4414E+05     687.704       8- 138      475
2s_2p4_4Pe[1/2]        -2s2_2p2(3Pe)6p_4Do         1.3892E-05  2.0361E+04     674.603       8- 164      476
2s_2p4_4Pe[1/2]        -2s2_2p2(3Pe)6p_4Po         2.8764E-04  7.0378E+05     674.063       8- 165      477
2s_2p4_4Pe[1/2]        -2s2_2p2(3Pe)6p_4So         3.3590E-04  2.4864E+06     671.241       8- 166      478
2s_2p4_4Pe[1/2]        -2s2_2p2(3Pe)6f_4Do         3.5318E-04  5.3610E+05     662.895       8- 174      479
2s_2p4_4Pe[1/2]        -2s2_2p2(3Pe)7p_4Do         1.5537E-05  2.4110E+04     655.627       8- 190      480
2s_2p4_4Pe[1/2]        -2s2_2p2(3Pe)7p_4Po         1.6847E-04  4.3612E+05     655.320       8- 191      481
2s_2p4_4Pe[1/2]        -2s2_2p2(3Pe)7p_4So         7.5322E-05  5.8761E+05     653.844       8- 193      482
2s_2p4_4Pe[1/2]        -2s2_2p2(3Pe)7f_4Do         2.4213E-04  3.8368E+05     648.797       8- 200      483
2s_2p4_4Pe[1/2]        -2s2_2p2(3Pe)8p_4Do         1.4154E-05  2.2741E+04     644.320       8- 220      484
2s_2p4_4Pe[1/2]        -2s2_2p2(3Pe)8p_4Po         1.0718E-04  2.8718E+05     644.128       8- 221      485
2s_2p4_4Pe[1/2]        -2s2_2p2(3Pe)8p_4So         2.3236E-05  1.8729E+05     643.243       8- 223      486
2s_2p4_4Pe[1/2]        -2s2_2p2(3Pe)8f_4Do         1.7102E-04  2.7853E+05     639.967       8- 237      487
2s_2p4_4Pe[1/2]        -2s2_2p2(3Pe)9p_4Do         1.2030E-05  1.9775E+04     637.010       8- 253      488
2s_2p4_4Pe[1/2]        -2s2_2p2(3Pe)9p_4Po         7.2918E-05  1.9985E+05     636.883       8- 254      489
2s_2p4_4Pe[1/2]        -2s2_2p2(3Pe)9p_4So         8.5114E-06  7.0111E+04     636.303       8- 256      490
2s_2p4_4Pe[1/2]        -2s2_2p2(3Pe)9f_4Do         1.2441E-04  2.0641E+05     634.060       8- 263      491
2s_2p4_4Pe[1/2]        -2s2_2p2(3Pe)10p_4Do        9.9865E-06  1.6677E+04     631.997       8- 280      492
2s_2p4_4Pe[1/2]        -2s2_2p2(3Pe)10p_4Po        5.1814E-05  1.4426E+05     631.904       8- 281      493
2s_2p4_4Pe[1/2]        -2s2_2p2(3Pe)10p_4So        3.5443E-06  2.9641E+04     631.506       8- 283      494
2s_2p4_4Pe[1/2]        -2s2_2p2(3Pe)10f_4Do        9.3321E-05  1.5688E+05     629.899       8- 290      495
2s_2p4_2De[5/2]        -2s2_2p2(3Pe)3p_2Do[3/2]    1.8120E-06  3.7589E+03    2195.492       9-  27      496
2s_2p4_2De[5/2]        -2s2_2p2(3Pe)3p_2Do[5/2]    2.5474E-05  3.5525E+04    2186.338       9-  28      497
2s_2p4_2De[5/2]        -2s2_2p2(3Pe)3p_2Po[3/2]    1.2095E-03  2.8163E+06    2072.255       9-  33      498
2s_2p4_2De[5/2]        -2s2_2p2(1De)3p_2Fo[5/2]    5.0673E-04  1.3303E+06    1593.997       9-  34      499
2s_2p4_2De[5/2]        -2s2_2p2(1De)3p_2Fo[7/2]    1.0138E-02  1.9976E+07    1593.397       9-  35      500
2s_2p4_2De[5/2]        -2s2_2p2(1De)3p_2Do[5/2]    4.5041E-05  1.2290E+05    1563.511       9-  36      501
2s_2p4_2De[5/2]        -2s2_2p2(1De)3p_2Do[3/2]    3.2183E-06  1.3181E+04    1562.989       9-  37      502
2s_2p4_2De[5/2]        -2s2_2p2(1De)3p_2Po[3/2]    1.0163E-02  4.5020E+07    1502.886       9-  45      503
2s_2p4_2De[5/2]        -2s2_2p2(3Pe)4p_2Do[3/2]    9.7724E-07  6.5780E+03    1219.189       9-  73      504
2s_2p4_2De[5/2]        -2s2_2p2(3Pe)4p_2Do[5/2]    1.3711E-05  6.1792E+04    1216.572       9-  74      505
2s_2p4_2De[5/2]        -2s2_2p2(3Pe)4p_2Po[3/2]    1.2078E-05  8.2303E+04    1211.727       9-  76      506
2s_2p4_2De[5/2]        -2s2_2p2(1Se)3p_2Po[3/2]    9.2561E-04  7.0105E+06    1149.360       9-  82      507
2s_2p4_2De[5/2]        -2s2_2p2(3Pe)4f_2Do         4.7851E-06  1.5335E+04    1117.502       9- 104      508
2s_2p4_2De[5/2]        -2s2_2p2(3Pe)4f_2Fo         3.1209E-05  7.1873E+04    1114.141       9- 109      509
2s_2p4_2De[5/2]        -2s2_2p2(3Pe)5p_2Do[3/2]    3.1458E-07  2.8832E+03    1044.820       9- 128      510
2s_2p4_2De[5/2]        -2s2_2p2(3Pe)5p_2Do[5/2]    4.4120E-06  2.7055E+04    1042.954       9- 129      511
2s_2p4_2De[5/2]        -2s2_2p2(3Pe)5p_2Po[3/2]    3.4702E-08  3.2252E+02    1037.564       9- 131      512
2s_2p4_2De[5/2]        -2s2_2p2(3Pe)5f_2Do         2.3618E-06  9.3591E+03    1004.966       9- 139      513
2s_2p4_2De[5/2]        -2s2_2p2(3Pe)5f_2Fo         2.4214E-05  6.8738E+04    1003.503       9- 147      514
2s_2p4_2De[5/2]        -2s2_2p2(1De)4p_2Fo[5/2]    3.9178E-05  2.6443E+05     994.122       9- 149      515
2s_2p4_2De[5/2]        -2s2_2p2(1De)4p_2Fo[7/2]    7.8363E-04  3.9674E+06     994.037       9- 150      516
2s_2p4_2De[5/2]        -2s2_2p2(1De)4p_2Do[3/2]    4.7894E-05  4.8531E+05     993.682       9- 151      517
2s_2p4_2De[5/2]        -2s2_2p2(1De)4p_2Do[5/2]    6.7063E-04  4.5318E+06     993.521       9- 152      518
2s_2p4_2De[5/2]        -2s2_2p2(1De)4p_2Po[3/2]    1.3504E-03  1.3920E+07     985.199       9- 159      519
2s_2p4_2De[5/2]        -2s2_2p2(3Pe)6p_2Do         1.5191E-04  6.4646E+05     969.768       9- 167      520
2s_2p4_2De[5/2]        -2s2_2p2(3Pe)6p_2Po         3.8128E-04  2.7214E+06     966.718       9- 168      521
2s_2p4_2De[5/2]        -2s2_2p2(3Pe)6f_2Do         1.9366E-06  8.5365E+03     952.854       9- 175      522
2s_2p4_2De[5/2]        -2s2_2p2(3Pe)6f_2Fo         1.1024E-05  3.4765E+04     952.096       9- 186      523
2s_2p4_2De[5/2]        -2s2_2p2(3Pe)7p_2Do         2.2153E-05  1.0146E+05     934.791       9- 192      524
2s_2p4_2De[5/2]        -2s2_2p2(3Pe)7p_2Po         3.0796E-05  2.3577E+05     933.420       9- 194      525
2s_2p4_2De[5/2]        -2s2_2p2(3Pe)7f_2Do         1.2717E-06  5.9613E+03     923.993       9- 201      526
2s_2p4_2De[5/2]        -2s2_2p2(3Pe)7f_2Fo         7.3623E-06  2.4675E+04     923.555       9- 212      527
2s_2p4_2De[5/2]        -2s2_2p2(3Pe)8p_2Do         8.4962E-06  4.0774E+04     913.198       9- 222      528
2s_2p4_2De[5/2]        -2s2_2p2(3Pe)8p_2Po         6.3896E-06  5.1200E+04     912.375       9- 224      529
2s_2p4_2De[5/2]        -2s2_2p2(1De)4f_2Fo         1.1428E-03  3.9302E+06     911.713       9- 227      530
2s_2p4_2De[5/2]        -2s2_2p2(1De)4f_2Do         4.0048E-04  1.9346E+06     910.217       9- 228      531
2s_2p4_2De[5/2]        -2s2_2p2(1De)4f_2Po         2.8124E-05  2.2724E+05     908.592       9- 230      532
2s_2p4_2De[5/2]        -2s2_2p2(3Pe)8f_2Do         6.3803E-07  3.1096E+03     906.187       9- 238      533
2s_2p4_2De[5/2]        -2s2_2p2(3Pe)8f_2Fo         4.9691E-06  1.7309E+04     905.905       9- 248      534
2s_2p4_2De[5/2]        -2s2_2p2(3Pe)9p_2Do         1.3219E-06  6.5431E+03     899.193       9- 255      535
2s_2p4_2De[5/2]        -2s2_2p2(3Pe)9p_2Po         6.7388E-07  5.5660E+03     898.647       9- 257      536
2s_2p4_2De[5/2]        -2s2_2p2(3Pe)9f_2Do         5.4073E-07  2.7054E+03     894.380       9- 264      537
2s_2p4_2De[5/2]        -2s2_2p2(3Pe)9f_2Fo         3.5983E-06  1.2865E+04     894.195       9- 274      538
2s_2p4_2De[5/2]        -2s2_2p2(3Pe)10p_2Do        4.3142E-08  2.1818E+02     889.595       9- 282      539
2s_2p4_2De[5/2]        -2s2_2p2(3Pe)10p_2Po        2.4951E-08  2.1048E+02     889.213       9- 284      540
2s_2p4_2De[5/2]        -2s2_2p2(3Pe)10f_2Do        4.0460E-07  2.0622E+03     886.133       9- 291      541
2s_2p4_2De[3/2]        -2s2_2p2(3Pe)3p_2Do[3/2]    2.4457E-05  3.3811E+04    2195.880      10-  27      542
2s_2p4_2De[3/2]        -2s2_2p2(3Pe)3p_2Do[5/2]    2.7289E-06  2.5362E+03    2186.723      10-  28      543
2s_2p4_2De[3/2]        -2s2_2p2(3Pe)3p_2Po[1/2]    1.0065E-03  3.1160E+06    2075.172      10-  32      544
2s_2p4_2De[3/2]        -2s2_2p2(3Pe)3p_2Po[3/2]    2.0155E-04  3.1276E+05    2072.601      10-  33      545
2s_2p4_2De[3/2]        -2s2_2p2(1De)3p_2Fo[5/2]    1.0640E-02  1.8617E+07    1594.201      10-  34      546
2s_2p4_2De[3/2]        -2s2_2p2(1De)3p_2Do[5/2]    4.8252E-06  8.7751E+03    1563.708      10-  36      547
2s_2p4_2De[3/2]        -2s2_2p2(1De)3p_2Do[3/2]    4.3441E-05  1.1858E+05    1563.185      10-  37      548
2s_2p4_2De[3/2]        -2s2_2p2(1De)3p_2Po[1/2]    8.4621E-03  4.9898E+07    1504.123      10-  44      549
2s_2p4_2De[3/2]        -2s2_2p2(1De)3p_2Po[3/2]    1.6936E-03  5.0003E+06    1503.068      10-  45      550
2s_2p4_2De[3/2]        -2s2_2p2(3Pe)4p_2Do[3/2]    1.3191E-05  5.9182E+04    1219.308      10-  73      551
2s_2p4_2De[3/2]        -2s2_2p2(3Pe)4p_2Do[5/2]    1.4689E-06  4.4125E+03    1216.691      10-  74      552
2s_2p4_2De[3/2]        -2s2_2p2(3Pe)4p_2Po[1/2]    1.0053E-05  9.1125E+04    1213.152      10-  75      553
2s_2p4_2De[3/2]        -2s2_2p2(3Pe)4p_2Po[3/2]    2.0128E-06  9.1421E+03    1211.845      10-  76      554
2s_2p4_2De[3/2]        -2s2_2p2(1Se)3p_2Po[1/2]    7.7121E-04  7.7856E+06    1149.548      10-  81      555
2s_2p4_2De[3/2]        -2s2_2p2(1Se)3p_2Po[3/2]    1.5425E-04  7.7871E+05    1149.466      10-  82      556
2s_2p4_2De[3/2]        -2s2_2p2(3Pe)4f_2Do         4.7851E-06  1.0222E+04    1117.602      10- 104      557
2s_2p4_2De[3/2]        -2s2_2p2(3Pe)4f_2Fo         3.1209E-05  4.7907E+04    1114.240      10- 109      558
2s_2p4_2De[3/2]        -2s2_2p2(3Pe)5p_2Do[3/2]    4.2465E-06  2.5943E+04    1044.908      10- 128      559
2s_2p4_2De[3/2]        -2s2_2p2(3Pe)5p_2Do[5/2]    4.7267E-07  1.9320E+03    1043.042      10- 129      560
2s_2p4_2De[3/2]        -2s2_2p2(3Pe)5p_2Po[1/2]    2.8891E-08  3.5735E+02    1038.526      10- 130      561
2s_2p4_2De[3/2]        -2s2_2p2(3Pe)5p_2Po[3/2]    5.7832E-09  3.5827E+01    1037.651      10- 131      562
2s_2p4_2De[3/2]        -2s2_2p2(3Pe)5f_2Do         2.3618E-06  6.2384E+03    1005.047      10- 139      563
2s_2p4_2De[3/2]        -2s2_2p2(3Pe)5f_2Fo         2.4214E-05  4.5818E+04    1003.584      10- 147      564
2s_2p4_2De[3/2]        -2s2_2p2(1De)4p_2Fo[5/2]    8.2267E-04  3.7011E+06     994.202      10- 149      565
2s_2p4_2De[3/2]        -2s2_2p2(1De)4p_2Do[3/2]    6.4652E-04  4.3668E+06     993.761      10- 151      566
2s_2p4_2De[3/2]        -2s2_2p2(1De)4p_2Do[5/2]    7.1847E-05  3.2362E+05     993.600      10- 152      567
2s_2p4_2De[3/2]        -2s2_2p2(1De)4p_2Po[1/2]    1.1249E-03  1.5449E+07     985.573      10- 158      568
2s_2p4_2De[3/2]        -2s2_2p2(1De)4p_2Po[3/2]    2.2505E-04  1.5463E+06     985.277      10- 159      569
2s_2p4_2De[3/2]        -2s2_2p2(3Pe)6p_2Do         1.5191E-04  4.3091E+05     969.844      10- 167      570
2s_2p4_2De[3/2]        -2s2_2p2(3Pe)6p_2Po         3.8128E-04  1.8140E+06     966.793      10- 168      571
2s_2p4_2De[3/2]        -2s2_2p2(3Pe)6f_2Do         1.9366E-06  5.6901E+03     952.927      10- 175      572
2s_2p4_2De[3/2]        -2s2_2p2(3Pe)6f_2Fo         1.1024E-05  2.3173E+04     952.168      10- 186      573
2s_2p4_2De[3/2]        -2s2_2p2(3Pe)7p_2Do         2.2153E-05  6.7630E+04     934.862      10- 192      574
2s_2p4_2De[3/2]        -2s2_2p2(3Pe)7p_2Po         3.0796E-05  1.5715E+05     933.490      10- 194      575
2s_2p4_2De[3/2]        -2s2_2p2(3Pe)7f_2Do         1.2717E-06  3.9736E+03     924.062      10- 201      576
2s_2p4_2De[3/2]        -2s2_2p2(3Pe)7f_2Fo         7.3623E-06  1.6447E+04     923.623      10- 212      577
2s_2p4_2De[3/2]        -2s2_2p2(3Pe)8p_2Do         8.4962E-06  2.7179E+04     913.265      10- 222      578
2s_2p4_2De[3/2]        -2s2_2p2(3Pe)8p_2Po         6.3896E-06  3.4128E+04     912.442      10- 224      579
2s_2p4_2De[3/2]        -2s2_2p2(1De)4f_2Fo         1.1428E-03  2.6198E+06     911.780      10- 227      580
2s_2p4_2De[3/2]        -2s2_2p2(1De)4f_2Do         4.0048E-04  1.2895E+06     910.283      10- 228      581
2s_2p4_2De[3/2]        -2s2_2p2(1De)4f_2Po         2.8124E-05  1.5147E+05     908.658      10- 230      582
2s_2p4_2De[3/2]        -2s2_2p2(3Pe)8f_2Do         6.3803E-07  2.0727E+03     906.253      10- 238      583
2s_2p4_2De[3/2]        -2s2_2p2(3Pe)8f_2Fo         4.9691E-06  1.1538E+04     905.971      10- 248      584
2s_2p4_2De[3/2]        -2s2_2p2(3Pe)9p_2Do         1.3219E-06  4.3615E+03     899.258      10- 255      585
2s_2p4_2De[3/2]        -2s2_2p2(3Pe)9p_2Po         6.7388E-07  3.7101E+03     898.712      10- 257      586
2s_2p4_2De[3/2]        -2s2_2p2(3Pe)9f_2Do         5.4073E-07  1.8033E+03     894.445      10- 264      587
2s_2p4_2De[3/2]        -2s2_2p2(3Pe)9f_2Fo         3.5983E-06  8.5752E+03     894.259      10- 274      588
2s_2p4_2De[3/2]        -2s2_2p2(3Pe)10p_2Do        4.3142E-08  1.4543E+02     889.659      10- 282      589
2s_2p4_2De[3/2]        -2s2_2p2(3Pe)10p_2Po        2.4951E-08  1.4030E+02     889.276      10- 284      590
2s_2p4_2De[3/2]        -2s2_2p2(3Pe)10f_2Do        4.0460E-07  1.3746E+03     886.196      10- 291      591
2s2_2p2(3Pe)3s_4Pe[1/2]-2s2_2p2(3Pe)3p_2So[1/2]    4.5601E-05  1.0644E+04    5344.104      11-  17      592
2s2_2p2(3Pe)3s_4Pe[1/2]-2s2_2p2(3Pe)3p_4Do[1/2]    2.6422E-01  8.1434E+07    4650.838      11-  18      593
2s2_2p2(3Pe)3s_4Pe[1/2]-2s2_2p2(3Pe)3p_4Do[3/2]    2.7225E-01  4.2171E+07    4638.856      11-  19      594
2s2_2p2(3Pe)3s_4Pe[1/2]-2s2_2p2(3Pe)3p_4Po[1/2]    4.3548E-02  1.5515E+07    4325.761      11-  24      595
2s2_2p2(3Pe)3s_4Pe[1/2]-2s2_2p2(3Pe)3p_4Po[3/2]    2.3658E-01  4.2310E+07    4317.139      11-  25      596
2s2_2p2(3Pe)3s_4Pe[1/2]-2s2_2p2(3Pe)3p_2Do[3/2]    4.4563E-05  1.0270E+04    3803.106      11-  27      597
2s2_2p2(3Pe)3s_4Pe[1/2]-2s2_2p2(3Pe)3p_4So[3/2]    1.1454E-01  2.7698E+07    3712.743      11-  29      598
2s2_2p2(3Pe)3s_4Pe[1/2]-2s2_2p2(3Pe)4p_4Do[1/2]    4.2557E-03  1.0402E+07    1651.989      11-  65      599
2s2_2p2(3Pe)3s_4Pe[1/2]-2s2_2p2(3Pe)4p_4Do[3/2]    4.0642E-03  4.9746E+06    1650.671      11-  66      600
2s2_2p2(3Pe)3s_4Pe[1/2]-2s2_2p2(3Pe)4p_4So[3/2]    6.3566E-04  7.9032E+05    1637.826      11-  69      601
2s2_2p2(3Pe)3s_4Pe[1/2]-2s2_2p2(3Pe)4p_4Po[1/2]    9.0955E-04  2.2638E+06    1637.068      11-  70      602
2s2_2p2(3Pe)3s_4Pe[1/2]-2s2_2p2(3Pe)4p_4Po[3/2]    4.5599E-03  5.7049E+06    1632.705      11-  72      603
2s2_2p2(3Pe)3s_4Pe[1/2]-2s_2p3(5So)3s_4So[3/2]     3.1416E-03  5.0969E+06    1433.768      11-  94      604
2s2_2p2(3Pe)3s_4Pe[1/2]-2s2_2p2(3Pe)4f_4Do         2.6740E-04  8.7991E+04    1423.742      11- 103      605
2s2_2p2(3Pe)3s_4Pe[1/2]-2s2_2p2(3Pe)5p_4Do[1/2]    3.9556E-03  1.5110E+07    1321.411      11- 120      606
2s2_2p2(3Pe)3s_4Pe[1/2]-2s2_2p2(3Pe)5p_4Do[3/2]    1.9452E-03  3.7200E+06    1320.597      11- 121      607
2s2_2p2(3Pe)3s_4Pe[1/2]-2s2_2p2(3Pe)5p_4Po[1/2]    5.6026E-04  2.1573E+06    1316.150      11- 124      608
2s2_2p2(3Pe)3s_4Pe[1/2]-2s2_2p2(3Pe)5p_4Po[3/2]    8.8914E-04  1.7140E+06    1315.339      11- 125      609
2s2_2p2(3Pe)3s_4Pe[1/2]-2s2_2p2(3Pe)5p_4So[3/2]    1.0965E-04  2.1338E+05    1309.136      11- 127      610
2s2_2p2(3Pe)3s_4Pe[1/2]-2s2_2p2(3Pe)5f_4Do         1.3331E-04  5.7279E+04    1245.965      11- 138      611
2s2_2p2(3Pe)3s_4Pe[1/2]-2s2_2p2(3Pe)6p_4Do         4.3934E-03  2.0229E+06    1203.618      11- 164      612
2s2_2p2(3Pe)3s_4Pe[1/2]-2s2_2p2(3Pe)6p_4Po         1.9451E-03  1.4969E+06    1201.899      11- 165      613
2s2_2p2(3Pe)3s_4Pe[1/2]-2s2_2p2(3Pe)6p_4So         5.9027E-07  1.3833E+03    1192.958      11- 166      614
2s2_2p2(3Pe)3s_4Pe[1/2]-2s2_2p2(3Pe)6f_4Do         7.0683E-05  3.4628E+04    1166.847      11- 174      615
2s2_2p2(3Pe)3s_4Pe[1/2]-2s2_2p2(3Pe)7p_4Do         2.6832E-03  1.3663E+06    1144.514      11- 190      616
2s2_2p2(3Pe)3s_4Pe[1/2]-2s2_2p2(3Pe)7p_4Po         1.1991E-03  1.0193E+06    1143.578      11- 191      617
2s2_2p2(3Pe)3s_4Pe[1/2]-2s2_2p2(3Pe)7p_4So         8.5526E-06  2.1983E+04    1139.090      11- 193      618
2s2_2p2(3Pe)3s_4Pe[1/2]-2s2_2p2(3Pe)7f_4Do         4.2009E-05  2.2185E+04    1123.859      11- 200      619
2s2_2p2(3Pe)3s_4Pe[1/2]-2s2_2p2(3Pe)8p_4Do         1.7609E-03  9.5245E+05    1110.495      11- 220      620
2s2_2p2(3Pe)3s_4Pe[1/2]-2s2_2p2(3Pe)8p_4Po         7.8821E-04  7.1129E+05    1109.923      11- 221      621
2s2_2p2(3Pe)3s_4Pe[1/2]-2s2_2p2(3Pe)8p_4So         1.0900E-05  2.9649E+04    1107.299      11- 223      622
2s2_2p2(3Pe)3s_4Pe[1/2]-2s2_2p2(3Pe)8f_4Do         2.7168E-05  1.5041E+04    1097.626      11- 237      623
2s2_2p2(3Pe)3s_4Pe[1/2]-2s2_2p2(3Pe)9p_4Do         1.2158E-03  6.8388E+05    1088.956      11- 253      624
2s2_2p2(3Pe)3s_4Pe[1/2]-2s2_2p2(3Pe)9p_4Po         5.4421E-04  5.1054E+05    1088.586      11- 254      625
2s2_2p2(3Pe)3s_4Pe[1/2]-2s2_2p2(3Pe)9p_4So         1.0231E-05  2.8884E+04    1086.894      11- 256      626
2s2_2p2(3Pe)3s_4Pe[1/2]-2s2_2p2(3Pe)9f_4Do         1.9790E-05  1.1310E+04    1080.364      11- 263      627
2s2_2p2(3Pe)3s_4Pe[1/2]-2s2_2p2(3Pe)10p_4Do        8.8048E-04  5.0879E+05    1074.389      11- 280      628
2s2_2p2(3Pe)3s_4Pe[1/2]-2s2_2p2(3Pe)10p_4Po        3.8825E-04  3.7411E+05    1074.121      11- 281      629
2s2_2p2(3Pe)3s_4Pe[1/2]-2s2_2p2(3Pe)10p_4So        9.3918E-06  2.7207E+04    1072.972      11- 283      630
2s2_2p2(3Pe)3s_4Pe[1/2]-2s2_2p2(3Pe)10f_4Do        1.4256E-05  8.3314E+03    1068.341      11- 290      631
2s2_2p2(3Pe)3s_4Pe[3/2]-2s2_2p2(3Pe)3p_2So[1/2]    8.6684E-05  4.0014E+04    5374.355      12-  17      632
2s2_2p2(3Pe)3s_4Pe[3/2]-2s2_2p2(3Pe)3p_4Do[1/2]    2.1426E-02  1.3078E+07    4673.733      12-  18      633
2s2_2p2(3Pe)3s_4Pe[3/2]-2s2_2p2(3Pe)3p_4Do[3/2]    1.6941E-01  5.1971E+07    4661.632      12-  19      634
2s2_2p2(3Pe)3s_4Pe[3/2]-2s2_2p2(3Pe)3p_4Do[5/2]    3.8101E-01  7.8591E+07    4641.810      12-  20      635
2s2_2p2(3Pe)3s_4Pe[3/2]-2s2_2p2(3Pe)3p_4Po[1/2]    1.2530E-01  8.8466E+07    4345.560      12-  24      636
2s2_2p2(3Pe)3s_4Pe[3/2]-2s2_2p2(3Pe)3p_4Po[3/2]    4.6552E-02  1.6500E+07    4336.859      12-  25      637
2s2_2p2(3Pe)3s_4Pe[3/2]-2s2_2p2(3Pe)3p_4Po[5/2]    1.1938E-01  2.8435E+07    4319.629      12-  26      638
2s2_2p2(3Pe)3s_4Pe[3/2]-2s2_2p2(3Pe)3p_2Do[5/2]    9.5047E-05  2.9396E+04    3790.802      12-  28      639
2s2_2p2(3Pe)3s_4Pe[3/2]-2s2_2p2(3Pe)3p_4So[3/2]    1.2188E-01  5.8485E+07    3727.319      12-  29      640
2s2_2p2(3Pe)3s_4Pe[3/2]-2s2_2p2(3Pe)3p_2Po[1/2]    2.9372E-06  3.2567E+03    3467.695      12-  32      641
2s2_2p2(3Pe)3s_4Pe[3/2]-2s2_2p2(3Pe)3p_2Po[3/2]    2.7412E-04  1.5260E+05    3460.523      12-  33      642
2s2_2p2(3Pe)3s_4Pe[3/2]-2s2_2p2(1De)3p_2Fo[5/2]    2.7412E-06  2.2942E+03    2304.327      12-  34      643
2s2_2p2(3Pe)3s_4Pe[3/2]-2s2_2p2(1De)3p_2Do[5/2]    4.1490E-06  3.6710E+03    2241.131      12-  36      644
2s2_2p2(3Pe)3s_4Pe[3/2]-2s2_2p2(3Pe)4p_4Do[1/2]    4.4457E-04  2.1656E+06    1654.868      12-  65      645
2s2_2p2(3Pe)3s_4Pe[3/2]-2s2_2p2(3Pe)4p_4Do[3/2]    2.6788E-03  6.5351E+06    1653.545      12-  66      646
2s2_2p2(3Pe)3s_4Pe[3/2]-2s2_2p2(3Pe)4p_4Do[5/2]    4.6552E-03  7.5928E+06    1651.183      12-  67      647
2s2_2p2(3Pe)3s_4Pe[3/2]-2s2_2p2(3Pe)4p_4So[3/2]    6.3456E-04  1.5725E+06    1640.656      12-  69      648
2s2_2p2(3Pe)3s_4Pe[3/2]-2s2_2p2(3Pe)4p_4Po[1/2]    2.2700E-03  1.1261E+07    1639.895      12-  70      649
2s2_2p2(3Pe)3s_4Pe[3/2]-2s2_2p2(3Pe)4p_4Po[5/2]    2.4570E-03  4.0809E+06    1636.258      12-  71      650
2s2_2p2(3Pe)3s_4Pe[3/2]-2s2_2p2(3Pe)4p_4Po[3/2]    7.2833E-04  1.8162E+06    1635.517      12-  72      651
2s2_2p2(3Pe)3s_4Pe[3/2]-2s_2p3(5So)3s_4So[3/2]     3.1369E-03  1.0148E+07    1435.936      12-  94      652
2s2_2p2(3Pe)3s_4Pe[3/2]-2s2_2p2(3Pe)4f_4Do         2.6740E-04  1.7546E+05    1425.879      12- 103      653
2s2_2p2(3Pe)3s_4Pe[3/2]-2s2_2p2(3Pe)5p_4Do[1/2]    3.9501E-04  3.0095E+06    1323.252      12- 120      654
2s2_2p2(3Pe)3s_4Pe[3/2]-2s2_2p2(3Pe)5p_4Do[3/2]    1.2822E-03  4.8903E+06    1322.436      12- 121      655
2s2_2p2(3Pe)3s_4Pe[3/2]-2s2_2p2(3Pe)5p_4Do[5/2]    2.0794E-03  5.2993E+06    1320.944      12- 122      656
2s2_2p2(3Pe)3s_4Pe[3/2]-2s2_2p2(3Pe)5p_4Po[1/2]    1.3987E-03  1.0742E+07    1317.976      12- 124      657
