13-Mar-2002 18:22:42              !Date
217                               !Number of energy levels
2                                 !Number of photoionization routes
3.0                               !Screened nuclear charge
2p_2Po/2p2Po                      !Final state in ion
64555.80                          !Excitation energy of final state
6                                 !Statistical weight of ion
500.0                             !Sigma used for Gaussian smoothing (km/s)
Megabarns                         !Cross-section unit
False                             !Split J levels
8964                              !Total number of data pairs

2s2s1Se                      !Configuration name
0                            !Type of cross-section
1                            !Number of cross-section points
0.0000E+00

2s2p3Po                      !Configuration name
0                            !Type of cross-section
1                            !Number of cross-section points
0.0000E+00

2s2p1Po                      !Configuration name
0                            !Type of cross-section
1                            !Number of cross-section points
0.0000E+00

2p2p3Pe                      !Configuration name
20                           !Type of cross-section
72                           !Number of cross-section points
 1.00000E+00   3.3359E+00
 1.12948E+00   2.4678E+00
 1.23014E+00   2.0105E+00
 1.26550E+00   1.9705E+00
 1.27528E+00   2.1469E+00
 1.27885E+00   2.3889E+00
 1.28289E+00   3.3379E+00
 1.28378E+00   3.3607E+00
 1.28513E+00   2.9126E+00
 1.28783E+00   1.5497E+00
 1.28874E+00   1.2735E+00
 1.28964E+00   1.1726E+00
 1.29325E+00   1.1985E+00
 1.29960E+00   1.4037E+00
 1.31976E+00   1.4816E+00
 1.45204E+00   1.2400E+00
 1.45662E+00   1.2426E+00
 1.45968E+00   1.1853E+00
 1.47767E+00   1.2286E+00
 1.48181E+00   1.3259E+00
 1.48388E+00   1.4643E+00
 1.48440E+00   1.4508E+00
 1.48492E+00   1.3673E+00
 1.48648E+00   8.5232E-01
 1.48700E+00   7.5848E-01
 1.48752E+00   7.4263E-01
 1.48960E+00   9.0205E-01
 1.49430E+00   1.0115E+00
 1.51218E+00   1.0478E+00
 1.51589E+00   1.0380E+00
 1.51908E+00   1.0574E+00
 1.52014E+00   1.1533E+00
 1.52174E+00   1.6076E+00
 1.52227E+00   1.6640E+00
 1.52280E+00   1.5856E+00
 1.52387E+00   1.2467E+00
 1.52440E+00   1.1268E+00
 1.52547E+00   1.0417E+00
 1.53995E+00   1.0294E+00
 1.54643E+00   1.0346E+00
 1.54859E+00   9.0787E-01
 1.55620E+00   1.0282E+00
 1.56001E+00   1.0823E+00
 1.56111E+00   9.9093E-01
 1.56220E+00   8.4625E-01
 1.56274E+00   8.1871E-01
 1.56658E+00   9.2438E-01
 1.57427E+00   9.6209E-01
 1.57647E+00   8.7778E-01
 1.58311E+00   9.3346E-01
 1.58977E+00   9.4584E-01
 1.59199E+00   8.5743E-01
 1.59981E+00   9.3617E-01
 1.60149E+00   8.9822E-01
 1.60317E+00   8.0589E-01
 1.60710E+00   9.0216E-01
 1.60992E+00   8.9988E-01
 1.61217E+00   8.3991E-01
 1.61443E+00   8.5856E-01
 1.61669E+00   8.1557E-01
 1.62122E+00   8.7411E-01
 1.62975E+00   8.8973E-01
 1.63204E+00   8.1143E-01
 1.64292E+00   8.6025E-01
 1.64522E+00   8.6227E-01
 1.64695E+00   8.6518E-01
 1.64926E+00   8.1170E-01
 1.65388E+00   8.2978E-01
 1.65910E+00   8.1774E-01
 1.85305E+00   5.9801E-01
 2.04807E+00   4.4644E-01
 2.19729E+00   3.5670E-01

2p2p1De                      !Configuration name
20                           !Type of cross-section
105                          !Number of cross-section points
 1.00000E+00   3.1865E+00
 1.14260E+00   2.3600E+00
 1.21559E+00   2.0998E+00
 1.23402E+00   1.9750E+00
 1.26240E+00   1.9825E+00
 1.26639E+00   1.9747E+00
 1.27127E+00   1.7257E+00
 1.28289E+00   1.8510E+00
 1.30233E+00   2.0009E+00
 1.30873E+00   2.2484E+00
 1.31332E+00   2.6948E+00
 1.31423E+00   2.5509E+00
 1.31561E+00   1.9603E+00
 1.31746E+00   1.0380E+00
 1.31792E+00   8.6693E-01
 1.31838E+00   7.4786E-01
 1.31884E+00   6.8341E-01
 1.31930E+00   6.6467E-01
 1.32069E+00   7.3435E-01
 1.32671E+00   1.1211E+00
 1.33276E+00   1.2759E+00
 1.34494E+00   1.3669E+00
 1.40752E+00   1.3305E+00
 1.43738E+00   1.3738E+00
 1.44091E+00   1.4545E+00
 1.44292E+00   1.5868E+00
 1.44393E+00   1.4804E+00
 1.44545E+00   1.0681E+00
 1.44596E+00   9.8342E-01
 1.44646E+00   9.5518E-01
 1.45001E+00   1.1580E+00
 1.45560E+00   1.2392E+00
 1.46172E+00   1.1742E+00
 1.47147E+00   1.1637E+00
 1.47405E+00   1.1678E+00
 1.47663E+00   1.1788E+00
 1.47922E+00   1.1801E+00
 1.48492E+00   1.2008E+00
 1.48752E+00   1.1278E+00
 1.50374E+00   1.2749E+00
 1.50638E+00   1.3731E+00
 1.50743E+00   1.3003E+00
 1.50901E+00   1.0065E+00
 1.50954E+00   9.4639E-01
 1.51060E+00   9.4072E-01
 1.51483E+00   1.1334E+00
 1.51855E+00   1.3030E+00
 1.51908E+00   1.2956E+00
 1.51961E+00   1.2341E+00
 1.52121E+00   8.1159E-01
 1.52174E+00   7.3396E-01
 1.52227E+00   7.2764E-01
 1.52494E+00   9.5626E-01
 1.52761E+00   1.0692E+00
 1.52921E+00   1.0087E+00
 1.53082E+00   9.4421E-01
 1.53941E+00   1.0291E+00
 1.55185E+00   1.0865E+00
 1.55511E+00   1.1381E+00
 1.55620E+00   1.0305E+00
 1.55729E+00   8.7556E-01
 1.55783E+00   8.4755E-01
 1.56111E+00   9.9371E-01
 1.56274E+00   9.5183E-01
 1.56384E+00   8.8813E-01
 1.56548E+00   9.3402E-01
 1.56822E+00   1.0024E+00
 1.57647E+00   1.0436E+00
 1.57923E+00   9.6632E-01
 1.58145E+00   1.0521E+00
 1.58255E+00   1.0015E+00
 1.58366E+00   8.6299E-01
 1.58422E+00   8.2685E-01
 1.58977E+00   9.9164E-01
 1.59255E+00   9.4318E-01
 1.59534E+00   9.9351E-01
 1.59757E+00   8.9037E-01
 1.60430E+00   1.0145E+00
 1.60598E+00   9.1077E-01
 1.60710E+00   8.3062E-01
 1.60879E+00   8.4870E-01
 1.61274E+00   9.1523E-01
 1.61896E+00   9.5323E-01
 1.62122E+00   8.6049E-01
 1.62634E+00   9.6939E-01
 1.62918E+00   9.0323E-01
 1.63089E+00   9.0746E-01
 1.63318E+00   8.1436E-01
 1.64235E+00   9.0008E-01
 1.64522E+00   9.1884E-01
 1.64695E+00   9.1132E-01
 1.64868E+00   7.9274E-01
 1.65099E+00   8.2226E-01
 1.65678E+00   8.6290E-01
 1.66258E+00   8.6006E-01
 1.66608E+00   8.0839E-01
 1.67133E+00   8.4851E-01
 1.67543E+00   8.1987E-01
 1.68013E+00   8.1960E-01
 1.68189E+00   8.3772E-01
 1.68366E+00   8.9517E-01
 1.68660E+00   8.1455E-01
 1.87917E+00   6.0396E-01
 2.07548E+00   4.5495E-01
 2.22670E+00   3.6619E-01

2p2p1Se                      !Configuration name
20                           !Type of cross-section
118                          !Number of cross-section points
 1.00000E+00   3.8458E+00
 1.13821E+00   2.9069E+00
 1.26860E+00   2.3044E+00
 1.29461E+00   2.2342E+00
 1.36676E+00   2.1021E+00
 1.39185E+00   2.2296E+00
 1.40310E+00   2.5129E+00
 1.40900E+00   2.9693E+00
 1.41245E+00   3.6776E+00
 1.41394E+00   4.3952E+00
 1.41691E+00   6.7053E+00
 1.41790E+00   6.7524E+00
 1.41889E+00   5.9374E+00
 1.42138E+00   2.6577E+00
 1.42188E+00   2.1487E+00
 1.42237E+00   1.7537E+00
 1.42287E+00   1.4649E+00
 1.42387E+00   1.0851E+00
 1.42486E+00   8.1119E-01
 1.42586E+00   6.1927E-01
 1.42636E+00   5.7166E-01
 1.42686E+00   5.5789E-01
 1.42786E+00   5.9783E-01
 1.43186E+00   8.5629E-01
 1.43738E+00   1.0699E+00
 1.44899E+00   1.2647E+00
 1.48025E+00   1.4639E+00
 1.48181E+00   1.5722E+00
 1.48284E+00   1.8423E+00
 1.48492E+00   2.8624E+00
 1.48544E+00   2.9978E+00
 1.48596E+00   2.9921E+00
 1.48648E+00   2.8402E+00
 1.48856E+00   1.6540E+00
 1.48908E+00   1.4582E+00
 1.48960E+00   1.3415E+00
 1.49065E+00   1.2692E+00
 1.51483E+00   1.3332E+00
 1.56493E+00   1.3313E+00
 1.56767E+00   1.2033E+00
 1.57537E+00   1.2870E+00
 1.59199E+00   1.2778E+00
 1.59534E+00   1.2752E+00
 1.60936E+00   1.4224E+00
 1.61387E+00   1.6023E+00
 1.61556E+00   1.8371E+00
 1.61669E+00   2.2063E+00
 1.61782E+00   2.6251E+00
 1.61839E+00   2.6246E+00
 1.61896E+00   2.3705E+00
 1.62009E+00   1.3910E+00
 1.62066E+00   9.7597E-01
 1.62122E+00   7.3527E-01
 1.62179E+00   6.5105E-01
 1.62236E+00   6.6122E-01
 1.62463E+00   8.5534E-01
 1.62804E+00   9.8921E-01
 1.63948E+00   1.1703E+00
 1.64177E+00   1.0412E+00
 1.64350E+00   1.1324E+00
 1.64580E+00   9.9935E-01
 1.65562E+00   1.1840E+00
 1.65968E+00   1.0922E+00
 1.66608E+00   1.0721E+00
 1.66841E+00   9.7522E-01
 1.67133E+00   1.1016E+00
 1.68130E+00   1.1799E+00
 1.68425E+00   1.2600E+00
 1.68660E+00   1.4794E+00
 1.68719E+00   1.4752E+00
 1.68778E+00   1.3848E+00
 1.68897E+00   1.0652E+00
 1.68956E+00   9.5478E-01
 1.69015E+00   9.1282E-01
 1.69607E+00   1.0875E+00
 1.69904E+00   1.1442E+00
 1.70083E+00   1.2875E+00
 1.70261E+00   1.5427E+00
 1.70321E+00   1.5334E+00
 1.70559E+00   1.1138E+00
 1.70738E+00   9.0935E-01
 1.70798E+00   8.9354E-01
 1.70918E+00   9.6149E-01
 1.71097E+00   1.1104E+00
 1.71217E+00   1.0619E+00
 1.71397E+00   9.5378E-01
 1.71697E+00   9.6539E-01
 1.71998E+00   1.0565E+00
 1.72359E+00   1.0231E+00
 1.72903E+00   1.1175E+00
 1.73145E+00   9.9001E-01
 1.73630E+00   1.0591E+00
 1.73995E+00   1.2123E+00
 1.74178E+00   1.2721E+00
 1.74483E+00   9.9043E-01
 1.74727E+00   9.2793E-01
 1.75831E+00   9.9141E-01
 1.76262E+00   1.0878E+00
 1.76571E+00   1.0263E+00
 1.76756E+00   8.8373E-01
 1.76880E+00   8.6534E-01
 1.77624E+00   9.8955E-01
 1.77873E+00   1.0101E+00
 1.78060E+00   1.0975E+00
 1.78184E+00   1.0407E+00
 1.78371E+00   9.0984E-01
 1.78684E+00   9.3086E-01
 1.79122E+00   1.0363E+00
 1.79435E+00   9.0194E-01
 1.79750E+00   9.6394E-01
 1.79938E+00   9.9552E-01
 1.80190E+00   9.0858E-01
 1.80506E+00   9.6904E-01
 1.80759E+00   9.2150E-01
 1.81012E+00   9.4151E-01
 2.03664E+00   6.8387E-01
 2.34832E+00   4.6174E-01
 2.43024E+00   4.1791E-01

2s3s3Se                      !Configuration name
0                            !Type of cross-section
1                            !Number of cross-section points
0.0000E+00

2s3s1Se                      !Configuration name
0                            !Type of cross-section
1                            !Number of cross-section points
0.0000E+00

2s3p1Po                      !Configuration name
0                            !Type of cross-section
1                            !Number of cross-section points
0.0000E+00

2s3p3Po                      !Configuration name
0                            !Type of cross-section
1                            !Number of cross-section points
0.0000E+00

2s3d3De                      !Configuration name
0                            !Type of cross-section
1                            !Number of cross-section points
0.0000E+00

2s3d1De                      !Configuration name
0                            !Type of cross-section
1                            !Number of cross-section points
0.0000E+00

2p3s3Po                      !Configuration name
20                           !Type of cross-section
384                          !Number of cross-section points
 1.00000E+00   1.1893E+00
 1.20838E+00   9.4644E-01
 1.34918E+00   8.6866E-01
 1.43990E+00   9.1078E-01
 1.48181E+00   1.0288E+00
 1.50322E+00   1.1967E+00
 1.51642E+00   1.4129E+00
 1.52761E+00   1.7331E+00
 1.53995E+00   2.6398E+00
 1.54157E+00   3.0237E+00
 1.55185E+00   7.1918E+00
 1.55293E+00   8.1191E+00
 1.55348E+00   9.1034E+00
 1.55402E+00   1.0692E+01
 1.55456E+00   1.2974E+01
 1.55565E+00   1.9252E+01
 1.56603E+00   8.9714E+01
 1.56767E+00   9.1074E+01
 1.57097E+00   6.9078E+01
 1.57813E+00   1.4975E+01
 1.57868E+00   1.1213E+01
 1.57923E+00   7.9395E+00
 1.57979E+00   5.3709E+00
 1.58034E+00   3.6151E+00
 1.58089E+00   2.5858E+00
 1.58145E+00   2.0739E+00
 1.58200E+00   1.8478E+00
 1.58366E+00   1.6447E+00
 1.59199E+00   1.0280E+00
 1.59534E+00   9.8837E-01
 1.60373E+00   9.9552E-01
 1.60598E+00   9.0020E-01
 1.61500E+00   2.7810E-01
 1.61613E+00   2.1944E-01
 1.61726E+00   1.9084E-01
 1.61896E+00   1.8726E-01
 1.64292E+00   2.6702E-01
 1.68013E+00   3.2570E-01
 1.76016E+00   3.7687E-01
 1.79247E+00   4.0735E-01
 1.79813E+00   4.4069E-01
 1.79875E+00   4.5760E-01
 1.79938E+00   5.0998E-01
 1.80001E+00   6.6032E-01
 1.80064E+00   1.0210E+00
 1.80127E+00   1.7402E+00
 1.80190E+00   2.9356E+00
 1.80253E+00   4.6326E+00
 1.80380E+00   9.1219E+00
 1.80822E+00   2.6553E+01
 1.80949E+00   2.8956E+01
 1.81075E+00   2.7512E+01
 1.81329E+00   1.7989E+01
 1.81583E+00   7.5411E+00
 1.81646E+00   5.2619E+00
 1.81710E+00   3.3627E+00
 1.81773E+00   1.9650E+00
 1.81837E+00   1.0798E+00
 1.81901E+00   6.1205E-01
 1.81964E+00   4.0839E-01
 1.82028E+00   3.3780E-01
 1.82092E+00   3.1925E-01
 1.84787E+00   3.4979E-01
 1.88972E+00   3.6659E-01
 1.89966E+00   3.9332E-01
 1.91367E+00   3.7824E-01
 1.94268E+00   4.0137E-01
 1.95358E+00   4.5045E-01
 1.95837E+00   5.1329E-01
 1.96180E+00   6.2484E-01
 1.96318E+00   7.3131E-01
 1.96455E+00   9.2467E-01
 1.96593E+00   1.2102E+00
 1.96661E+00   1.4226E+00
 1.96730E+00   1.7477E+00
 1.96799E+00   2.2604E+00
 1.96868E+00   3.0237E+00
 1.96937E+00   4.0461E+00
 1.97213E+00   9.0810E+00
 1.97282E+00   9.8544E+00
 1.97351E+00   1.0087E+01
 1.97420E+00   9.7040E+00
 1.97489E+00   8.7773E+00
 1.97765E+00   3.2110E+00
 1.97835E+00   2.1446E+00
 1.97904E+00   1.3911E+00
 1.97973E+00   9.3254E-01
 1.98042E+00   6.8903E-01
 1.98112E+00   5.7080E-01
 1.98181E+00   5.1027E-01
 1.98389E+00   4.2588E-01
 1.98806E+00   3.7458E-01
 1.99712E+00   3.5539E-01
 2.02244E+00   3.7230E-01
 2.03521E+00   4.1668E-01
 2.04092E+00   4.8206E-01
