
******************************************************************************

       Photoionization cross-sections for S III

>> Verner high energy tail included for gnd level
>> Opacity project data smoothed by phot_smooth.f
>>   Smoothed with a gausian of width 3000 km/sec

          Types of cross sections included:
         -----------------------------------

          20 - Opacity Project: smoothed [number of data pairs]         

          21 - Opacity Project: scaled, smoothed [number of data pairs] 

******************************************************************************

08-Jul-1999                             !Date
49                                      !Number of energy levels
1                                       !Number of photoionization routes
3.0                                     !Screened nuclear charge
3s23p2Po                                !Final state in ion
0.0                                     !Excitation energy of final state
6.0                                     !Statistical weight of ion
3000.0                                  !Sigma used for Gaussian smoothing (km/s)
Megabarns                               !Cross-section unit
False                                   !Split J levels
7323                                    !Total number of data pairs

3s23p23Pe                               !Configuration name
20                                      !Type of cross-section
176                                     !Number of cross-section points
1.0000D+00 3.407D-01
1.0100D+00 3.374D-01
1.0151D+00 3.408D-01
1.0201D+00 3.584D-01
1.0303D+00 4.452D-01
1.0355D+00 4.894D-01
1.0406D+00 5.066D-01
1.0458D+00 4.970D-01
1.0510D+00 4.745D-01
1.0563D+00 4.563D-01
1.0616D+00 4.486D-01
1.0669D+00 4.488D-01
1.0722D+00 4.597D-01
1.0776D+00 4.906D-01
1.0883D+00 6.419D-01
1.0938D+00 7.267D-01
1.0992D+00 7.664D-01
1.1047D+00 7.283D-01
1.1158D+00 5.082D-01
1.1213D+00 4.106D-01
1.1269D+00 3.595D-01
1.1326D+00 3.490D-01
1.1382D+00 3.687D-01
1.1439D+00 3.999D-01
1.1496D+00 4.268D-01
1.1553D+00 4.412D-01
1.1611D+00 4.418D-01
1.1727D+00 4.264D-01
1.1786D+00 4.262D-01
1.1844D+00 4.406D-01
1.2023D+00 5.502D-01
1.2143D+00 6.316D-01
1.2204D+00 6.608D-01
1.2326D+00 6.966D-01
1.2387D+00 7.163D-01
1.2511D+00 8.003D-01
1.2574D+00 8.477D-01
1.2637D+00 8.663D-01
1.2699D+00 8.357D-01
1.2827D+00 7.012D-01
1.2891D+00 6.559D-01
1.2955D+00 6.430D-01
1.3020D+00 6.512D-01
1.3282D+00 7.667D-01
1.3348D+00 7.897D-01
1.3414D+00 7.899D-01
1.3549D+00 7.358D-01
1.3616D+00 7.230D-01
1.3684D+00 7.343D-01
1.3752D+00 7.597D-01
1.3821D+00 7.810D-01
1.3890D+00 7.898D-01
1.3960D+00 7.931D-01
1.4029D+00 7.993D-01
1.4099D+00 8.091D-01
1.4311D+00 8.307D-01
1.4383D+00 8.376D-01
1.4454D+00 8.431D-01
1.4527D+00 8.461D-01
1.4745D+00 8.502D-01
1.4819D+00 8.497D-01
1.5042D+00 8.410D-01
1.5117D+00 8.382D-01
1.5192D+00 8.364D-01
1.5268D+00 8.358D-01
1.5344D+00 8.363D-01
1.5889D+00 8.500D-01
1.5968D+00 8.522D-01
1.6128D+00 8.565D-01
1.6208D+00 8.587D-01
1.6289D+00 8.609D-01
1.6700D+00 8.718D-01
1.6867D+00 8.749D-01
1.6951D+00 8.755D-01
1.7036D+00 8.755D-01
1.7640D+00 8.676D-01
1.7728D+00 8.663D-01
1.8448D+00 8.557D-01
1.8819D+00 8.502D-01
2.0481D+00 8.187D-01
2.0584D+00 8.163D-01
2.0686D+00 8.139D-01
2.1313D+00 7.994D-01
2.1420D+00 7.969D-01
2.1851D+00 7.870D-01
2.2069D+00 7.819D-01
2.2290D+00 7.768D-01
2.2401D+00 7.742D-01
2.2513D+00 7.716D-01
2.2625D+00 7.690D-01
2.2966D+00 7.612D-01
2.3081D+00 7.585D-01
2.3196D+00 7.558D-01
2.3428D+00 7.505D-01
2.3545D+00 7.478D-01
2.3663D+00 7.450D-01
2.3780D+00 7.423D-01
2.3899D+00 7.396D-01
2.4259D+00 7.312D-01
2.4380D+00 7.284D-01
2.4624D+00 7.228D-01
2.4747D+00 7.200D-01
2.4994D+00 7.142D-01
2.5371D+00 7.055D-01
2.5625D+00 6.996D-01
2.5752D+00 6.967D-01
2.6010D+00 6.907D-01
2.6402D+00 6.816D-01
2.6533D+00 6.786D-01
2.7887D+00 6.468D-01
2.8166D+00 6.401D-01
2.8307D+00 6.368D-01
2.8448D+00 6.334D-01
2.9604D+00 6.059D-01
2.9752D+00 6.023D-01
2.9901D+00 5.988D-01
3.0351D+00 5.881D-01
3.0502D+00 5.845D-01
3.0655D+00 5.809D-01
3.0807D+00 5.772D-01
3.1115D+00 5.699D-01
3.1427D+00 5.625D-01
3.1584D+00 5.587D-01
3.1741D+00 5.550D-01
3.1900D+00 5.512D-01
3.2219D+00 5.436D-01
3.2542D+00 5.359D-01
3.2867D+00 5.281D-01
3.3196D+00 5.203D-01
3.3528D+00 5.124D-01
3.3864D+00 5.044D-01
3.4033D+00 5.004D-01
3.4203D+00 4.963D-01
3.4373D+00 4.923D-01
3.8162D+00 4.202D-01
3.8352D+00 4.208D-01
3.8544D+00 4.217D-01
3.8736D+00 4.223D-01
3.8930D+00 4.220D-01
3.9123D+00 4.206D-01
3.9910D+00 4.093D-01
4.8705D+00 2.954D-01
5.5713D+00 2.337D-01
5.6551D+00 2.272D-01
6.9012D+00 1.561D-01
8.4219D+00 1.055D-01
1.0278D+01 7.015D-02
1.2543D+01 4.603D-02
1.5306D+01 2.989D-02
1.8679D+01 1.924D-02
2.2795D+01 1.231D-02
2.7818D+01 7.843D-03
3.3948D+01 4.979D-03
4.1429D+01 3.153D-03
5.0558D+01 1.993D-03
6.1699D+01 1.257D-03
7.5295D+01 7.915D-04
9.1887D+01 4.969D-04
1.1214D+02 3.109D-04
1.3685D+02 1.937D-04
1.6700D+02 1.201D-04
2.0380D+02 7.403D-05
2.4871D+02 4.534D-05
3.0351D+02 2.758D-05
3.7039D+02 1.665D-05
4.5201D+02 9.971D-06
5.5162D+02 5.923D-06
6.7317D+02 3.490D-06
8.2151D+02 2.039D-06
1.0025D+03 1.181D-06
1.2235D+03 6.786D-07
1.4930D+03 3.866D-07
1.8221D+03 2.185D-07
2.2236D+03 1.225D-07
2.7135D+03 6.815D-08
2.8238D+03 6.053D-08
3s23p21De                               !Configuration name
20                                      !Type of cross-section
87                                      !Number of cross-section points
1.0000D+00 4.105D-01
1.0100D+00 3.916D-01
1.0406D+00 3.409D-01
1.0510D+00 3.286D-01
1.0563D+00 3.246D-01
1.0616D+00 3.235D-01
1.0669D+00 3.260D-01
1.0829D+00 3.480D-01
1.0883D+00 3.629D-01
1.0938D+00 3.913D-01
1.1102D+00 5.641D-01
1.1158D+00 6.119D-01
1.1213D+00 6.300D-01
1.1269D+00 6.135D-01
1.1382D+00 5.336D-01
1.1496D+00 4.646D-01
1.1553D+00 4.399D-01
1.1611D+00 4.293D-01
1.1669D+00 4.427D-01
1.1727D+00 5.157D-01
1.1786D+00 7.124D-01
1.1963D+00 2.477D+00
1.2023D+00 2.854D+00
